"ID","Name","Distance (mi)","Moving time (s)","Elapsed time (s)","Elevation gain (ft)","Avg speed (mph)","Max speed (mph)","Avg cadence","Avg temp (C)","Avg HR","Max HR","Calories","Shoes","Start timestamp (local)","Start Lat","Start Lng","End Lat","End Lng","City","State","Country","Achievements","Kudos","Workout type"
"92498449","10/30/2013 Berkeley, CA","3.10816084069","1653","1713","37.4015748031","6.76896921976","8.94774516822","83.3","","","","446.5","Saucony Stabil CS2","2013-10-30 21:5:41","37.88","-122.29","37.88","-122.29","Berkeley","CA","United States","0","0","0"
"92498451","10/31/2013 Berkeley, CA","4.0617170723","2100","2100","149.278215223","6.96358267717","10.5136005727","84.0","","","","586.7","Saucony Stabil CS2","2013-10-31 22:55:1","37.88","-122.29","37.88","-122.29","Berkeley","CA","United States","4","0","0"
"93125216","11/02/2013 Oakland, CA","12.0019709894","8315","9621","1526.90288714","5.19640300644","8.2766642806","74.8","","","","1688.1","Saucony Stabil CS2","2013-11-2 10:13:41","37.77","-122.13","37.77","-122.13","Oakland","CA","United States","1","0","2"
"171933001","11/04/2013","2.00000745645","813","813","0.0","8.85603078024","0.0","","","","","260.1","Saucony Stabil CS2","2013-11-4 20:0:0","","","","","","","United States","0","0","3"
"95764447","Big Sur Half Marathon, 2013","13.3587349877","7321","7337","166.666666667","6.55422333572","9.61882605583","84.1","","","","1755.2","Saucony Stabil CS2","2013-11-17 7:18:11","36.6","-121.89","36.6","-121.89","Monterey","CA","United States","5","0","1"
"96993346","Berkeley Half Marathon, 2013","13.3309596954","11159","11450","87.9265091864","4.19201861131","8.72405153901","70.0","","","","1727.1","Saucony Stabil CS2","2013-11-24 8:13:31","37.87","-122.27","37.89","-122.32","Berkeley","CA","United States","4","0","1"
"100424128","12/14/2013 Point Reyes Station, CA","8.93332935656","5165","5932","817.257217848","6.22763063708","9.84251968504","","","","","1340.2","Saucony Stabil CS2","2013-12-14 19:13:13","38.04","-122.8","38.04","-122.8","Point Reyes Station","CA","United States","0","0","0"
"171934529","12/24/2013 Berkeley, CA","1.31171458681","628","628","0.0","7.51834287759","8.50035790981","","","","","162.7","Saucony Stabil CS2","2013-12-24 10:30:0","37.87","-122.28","37.88","-122.29","Berkeley","CA","United States","0","0","0"
"189367065","End of year run","3.09983446671","1643","1643","0.0","6.79133858268","0.0","","","","","403.1","Saucony Stabil CS2","2013-12-31 18:15:11","","","","","","","United States","0","0","0"
"189366547","Rehab 5K","3.131772946","1628","1631","167.979002625","6.9255547602","10.5136005727","86.2","","","","410.9","Saucony Stabil CS2","2014-1-18 10:57:36","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","0","0","0"
"110851115","Death Valley Half Marathon, 2014","12.9754732363","9019","9025","224.081364829","5.17627057981","10.2899069435","78.5","","162.5","179","1692.5","Saucony Stabil CS2","2014-2-1 8:22:23","36.46","-116.87","36.46","-116.87","Death Valley","CA","United States","1","0","1"
"171935691","03/27/2014","2.4074405472","1301","1301","0.0","6.66159627774","9.39513242663","","","","","313.6","Saucony Stabil CS2","2014-3-27 1:27:34","20.63","-87.07","20.63","-87.07","","","United States","0","0","0"
"126554166","04/03/2014 Berkeley, CA","3.12760975901","1795","1825","229.330708661","6.27236936292","8.50035790981","85.4","","","","461.2","Saucony Stabil CS2","2014-4-3 6:50:43","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","1","0","0"
"130583773","04/15/2014 Berkeley, CA","4.79499721626","2709","2780","389.107611549","6.37303149606","9.84251968504","86.6","","","","706.2","Saucony Stabil CS2","2014-4-15 7:46:41","37.87","-122.27","37.88","-122.28","Berkeley","CA","United States","1","0","0"
"147131260","Breaking in","0.999972659668","555","555","0.0","6.48711524696","0.0","","","","","130.1","Saucony Kinvara 5","2014-5-29 12:0:0","37.87","-122.27","","","Berkeley","CA","United States","0","0","0"
"147916953","05/31/2014 Berkeley, CA","4.02605036586","1880","1920","185.695538058","7.70848246242","10.5136005727","88.8","","","","529.2","Saucony Kinvara 5","2014-5-31 18:30:32","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","7","0","0"
"150019013","06/05/2014 Berkeley, CA","4.01070249742","2023","2189","422.572178478","7.13806370795","10.9609878311","91.7","","167.4","188","541.6","Saucony Kinvara 5","2014-6-5 21:22:26","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","2","1","0"
"153250517","06/13/2014 Berkeley, CA","5.02478028315","2495","2618","225.393700787","7.24991052255","10.7372942019","92.7","","171.4","183","658.9","Saucony Kinvara 5","2014-6-13 20:59:25","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","7","1","0"
"156686212","06/19/2014 San Francisco, CA","4.47262984172","2395","3197","335.62992126","6.72199355762","19.6850393701","90.3","","","","593.3","Saucony Kinvara 5","2014-6-19 18:51:29","37.78","-122.42","37.78","-122.42","San Francisco","CA","United States","0","0","0"
"164737588","07/11/2014 Berkeley, CA","4.01449286169","2120","2163","222.769028871","6.81818181818","9.17143879742","93.3","","","","529.6","Saucony Kinvara 5","2014-7-11 20:31:42","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","0","1","0"
"166982561","07/12/2014 Richmond, CA","3.0222252048","1859","1859","0.0","5.85182534001","9.39513242663","83.1","","","","396.6","Altra Lone Peak 1.5","2014-7-12 18:33:11","38.0","-122.36","38.0","-122.36","Richmond","CA","United States","0","0","0"
"166982562","07/15/2014 Berkeley, CA","7.15347371351","3781","5352","754.921259843","6.81147100931","10.5136005727","93.4","","","","963.8","Saucony Kinvara 5","2014-7-15 19:42:36","37.87","-122.28","37.87","-122.28","Berkeley","CA","United States","1","0","0"
